m_Lv:int,m_pow:int,m_qck:int,m_def:int,m_itl:int,m_stl:int,m_HP:int,m_MP:int,m_Ex:int
1,12,4,6,4,8,30,0,0
2,13,4,7,5,8,33,0,20
3,15,5,8,6,9,37,0,53
4,16,6,9,7,9,41,0,107
5,18,7,10,8,10,45,0,196
6,21,8,11,10,10,52,0,340
7,24,10,12,12,11,59,0,574
8,28,11,13,15,12,67,0,954
9,31,13,14,17,13,74,0,1571
10,35,15,15,20,14,82,0,2573
11,38,18,16,22,15,91,0,3919
12,41,21,18,24,16,101,0,5727
13,45,24,19,26,17,110,0,8156
14,48,27,21,28,18,120,0,11419
15,52,30,23,30,20,130,0,15803
16,55,35,24,34,22,133,0,20598
17,59,40,25,38,24,148,0,25842
18,62,45,27,42,26,157,0,31577
19,66,50,28,46,28,166,0,37849
20,70,55,30,50,30,175,0,44709
21,75,56,31,52,31,182,0,52426
22,80,58,33,55,32,190,0,61107
23,85,60,35,57,33,197,0,70873
24,90,61,37,60,34,205,0,81859
25,95,63,39,62,35,212,0,94218
26,100,65,40,65,36,220,0,108121
27,105,66,42,67,37,227,0,123761
28,110,68,44,70,38,235,0,141356
29,115,70,46,72,39,242,0,161150
30,120,72,48,75,40,250,0,183418
31,123,73,49,76,40,263,0,208469
32,126,75,51,77,41,276,0,236651
33,129,77,53,78,42,290,0,268355
34,132,79,55,79,42,303,0,304022
35,135,81,57,80,43,316,0,344147
36,138,83,58,81,44,330,0,389287
37,141,85,60,82,44,343,0,440069
38,144,86,62,83,45,356,0,497198
39,147,88,64,84,46,370,0,561468
40,150,90,66,85,46,383,0,633771
41,153,92,67,86,47,396,0,715111
42,156,94,69,87,48,410,0,806618
43,159,96,71,88,48,423,0,909563
44,162,98,73,89,49,436,0,1025376
45,165,100,75,90,50,450,0,1155665
46,169,101,76,90,54,462,0,1285954
47,173,103,77,91,58,474,0,1416243
48,178,105,79,92,62,486,0,1546532
49,182,106,80,92,66,498,0,1676821
50,186,108,81,93,70,510,0,1807110
51,191,110,83,94,74,522,0,1937399
52,195,111,84,94,78,534,0,2067688
53,199,113,85,95,82,546,0,2197977
54,204,115,87,96,86,558,0,2328266
55,208,116,88,96,90,570,0,2458555
56,212,118,89,97,94,582,0,2588844
57,217,120,91,98,98,594,0,2719133
58,221,121,92,98,102,606,0,2849422
59,225,123,93,99,106,618,0,2979711
60,230,125,95,100,110,630,0,3110000
61,234,126,98,105,110,636,0,3240289
62,238,127,101,110,110,643,0,3370578
63,243,129,104,115,110,650,0,3500867
64,247,130,107,120,110,657,0,3631156
65,251,132,111,125,110,664,0,3761445
66,256,133,114,130,110,671,0,3891734
67,260,134,117,135,110,678,0,4022023
68,264,136,120,141,110,685,0,4152312
69,269,137,123,146,110,692,0,4282601
70,273,139,127,151,110,699,0,4412890
71,277,140,130,156,110,706,0,4543179
72,282,141,133,161,110,713,0,4673468
73,286,143,136,166,110,720,0,4803757
74,291,144,139,171,110,726,0,4934046
75,295,146,143,176,110,733,0,5064335
76,299,147,146,182,110,740,0,5194624
77,304,148,149,187,110,747,0,5324913
78,308,150,152,192,110,754,0,5455202
79,312,151,155,197,110,761,0,5585491
80,317,153,159,202,110,768,0,5715780
81,321,154,162,207,110,775,0,5846069
82,325,156,165,212,110,782,0,5976358
83,330,157,168,217,110,789,0,6106647
84,334,158,171,223,110,796,0,6236936
85,338,160,175,228,110,803,0,6367225
86,343,161,178,233,110,810,0,6497514
87,347,163,181,238,110,816,0,6627803
88,352,164,184,243,110,823,0,6758092
89,356,165,187,248,110,830,0,6888381
90,360,167,191,253,110,837,0,7018670
91,365,168,194,258,110,844,0,7148959
92,369,170,197,264,110,851,0,7279248
93,373,171,200,269,110,858,0,7409537
94,378,172,203,274,110,865,0,7539826
95,382,174,207,279,110,872,0,7670115
96,386,175,210,284,110,879,0,7800404
97,391,177,213,289,110,886,0,7930693
98,395,178,216,294,110,893,0,8060982
99,400,180,220,300,110,900,0,8191271
