ID,モンスター名,HP,MP,すばやさ,こうげきりょく,しゅびりょく,けいけんち,ゴールド,アイテムかくりつ,アイテム,LV,メタルけい,ドラゴンけい,ゾンビけい,そらけい,スライムけい,ふくすうかい,しぜんかいふく,しゅうちゅうこうげき,みかわし,しょきじょうたい,しょきかくりつ,なかまかくりつ,メラ,ギラ,イオ,ヒャド,バギ,デイン,マヌーサ,ラリホー,ザキ,ニフラム,マホトラ,マホトーン,メダパニ,ルカニ,どく,やすみ,おどりふうじ,ほのお,ふぶき,たたき,まひ,ぐんたい
0,なし,0,0,0,0,0,0,0,0,なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,スライム,7,0,3,9,8,1,1,4,やくそう,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
2,ナスビナーラ,8,0,5,10,9,2,2,3,やくそう,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0
3,オニムカデ,8,0,4,12,13,3,3,1,やくそう,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
4,リップス,10,0,8,11,7,2,4,2,やくそう,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
5,みみとびねずみ,16,0,9,16,9,5,5,4,やくそう,4,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
6,バブルスライム,24,0,6,20,12,7,4,2,どくけし草,6,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
7,サボテンボール,14,0,10,18,14,4,5,6,いばらのムチ,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0
8,ちゅうまじゅう,20,0,7,20,13,6,3,5,せいすい,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0
9,ねこまどう,22,4,8,19,15,8,7,5,ひのきのぼう,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
10,ソードワラビー,24,0,12,25,14,10,6,5,どうのつるぎ,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0
11,はなカワセミ,20,0,13,20,9,9,4,4,やくそう,6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
12,森の番人,28,0,10,27,16,11,5,4,布の服,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0
13,はりせんもぐら,25,0,8,30,25,8,7,5,やくそう,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,3,0,0,0,0,0
14,インプ,30,4,16,33,20,12,6,4,やくそう,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
15,かにおとこ,27,0,12,35,31,14,6,6,どうのつるぎ,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,3,3,0,0,0,0,3,0,0,0,0,0
