m_ID,m_name,m_stat,m_comment
0010,ラスタ,男,いつか季節の不思議をときあかしてみせますよ！
0020,ゴルエイ,おじさん,町の子供にこの町で勉強を教えていきます！[セシル]
0030,セシル,女子供,ゴルエイ先生ねこの町にいたよ！[ゴルエイ]
0040,ピピン,男子供,お姉ちゃん見つかったよ！[ルナ]
0050,ルナ,女,この町で弟のピピンを見つけました！[ピピン]
0060,サリル,おばさん,ピオリムピオリムパルプンテ♪
0070,エンチャ,老婆,生きているということはそれだけで宝物なんですなあ。
0080,ブラーノ,旅の商人,３日で牛を６頭たいらげた男の語りべです。
0090,パル,おじさん,私の占い今じゃなかなか評判がいいんですよ！
00A0,オニール,メイド,まだ無職なの。
00B0,ボガート,バーテン,みなさんにまた会えてうれしいですねー。
00C0,コロゴロ,あらくれ,事件のかおりがあたりにただよっていますね。[ウォーク]
00D0,ウォーク,船乗り,この町でちょっとしたさわぎを起こさせてもらうぜ。[コロゴロ]
00E0,ピアナ,踊り子,あんたのおかげでこの町でダンナが見つかったのよ。[ウォーク]
00F0,ゴバン,囚人,みんななかなか打ちとけてくれないんですよね。
0100,レミ,女,この町ならお店を出すには最高だわ！
0110,ドストン,老人,担当のへんしゅう者がとうとうこの町まで来よってな……。[シュンク]
0120,シュンク,詩人,子供みたいな人の担当で苦労しますよ……。[ドストン]
0130,マドリア,シスター,……ムキ～ッ！！
0140,プキ,老婆,思ったより器量のいいコがいたけど
0150,クロービス,男,この町には知人もいない。天国ですよ。[リンダ]
0160,リンダ,女,私が前にいたモンバーバラとくらべたら……[クロービス]
0170,シアン,バーテン,うまのふんショップはこの町でも反対されているよ。
0180,ルルミー,踊り子,結局町の人に剣術を教えて暮らす毎日よ。[ペラオス]
0190,ペラオス,兵士,こんにちはッス！[ルルミー]
01A0,レディス,シスター,あれから見事に不良シスターになれました！
01B0,パグル,農夫,オラぁこの町で好きなコができただ！[マリン]
01C0,マリン,踊り子,ちょっとうるさい男につきまとわれてるの。[パグル]
01D0,レキット,詩人,エレキテルの研究は順調に進んでいますよ。
01E0,ブラン,兵士,父さん毎日この町の人とポーカーばっかりやってるんです。[ギャラン]
01F0,ギャラン,老人,なんじゃ？ポーカーでもやりたいんか？[ブラン]
0200,ラッツ,戦士,毎日新しいゲームを考えるのに必死だよ。
0210,モン,戦士,モントリエスパリオス６世です。
0220,コードン,詩人,移民をしたら毎日快眠！
0230,ハラド,おじさん,この町になにかホ不満でも？
0240,メサムチョ,王さま,やっぱり昼間は……眠らんとわしゃ死んじゃうぞい……。
0250,ククル,姫,風の中のメラゴースト。ステキなタイトルでしょ？
0260,カーサ,詩人,人々の生命のひびきがこの耳に聞こえてくるようです。
0270,ミザベラ,貴婦人,おかげさまでこの町のスープは適温ですわ。
0280,ウィル,男,この町はぜんぜん温泉掘りに適してねえじゃねえかよ。
0290,ヤニモック,おじさん,地下社会でヤニーズという組織を作りました。
02A0,ハック,男子供,ホントに親のスネをかじってたころがなつかしいよ。
02B0,キレス,おばさん,この町も人が増えてきてそろそろ汚れが目立ってきたね。
02C0,エレン,女,空の上にはなにがあるの？
02D0,ユミナ,女子供,はいっ！むねいっぱいっ！
02E0,ワルドナー,老人,この町にもツボを割ってまわる連中がいるそうじゃ。
02F0,ヨーレイ,バーテン,おかげでいなかの母さんに仕送りもできますよ。
0300,ロデオ,あらくれ,アッテムトでおかしくなった身体もこの町に来てからすっかりよくなったぜ！
0310,レオン,船乗り,彼女はぼくの心の中でずっと踊りつづけていますからね。
0320,チャーミー,バニー,例の究極のテクニック機会があったらあなたも使ってみてね。[ペガソ]
0330,ペガソ,男,彼女またいなくなってしまって……。[チャーミー]
0340,リジュ,シスター,人はだれしも心の奥底に暗闇のひとつやふたつはかかえているものです。
0350,シーズ,老婆,知らんでええ知らんでええ！さいみん術とはそういうもんじゃ！
0360,ビリア,船乗り,モンスターマスターなんてかっこつけすぎですかね？
0370,スラオット,スライム,さみしいよーん。[ビリア]
0380,ステッド,船乗り,残念ながらこのあたりにはめずらしい魔物はいないようだ。
0390,ソルドニア,女,私びんぼうしょうでよかった。
03A0,クーベル,あらくれ,……おっと今はもう格闘家ではありませんでした。
03B0,レエチェ,シスター,錬金術師への道はけわしいですがあきらめずにがんばります！
03C0,エンゼラ,女,どうにか父にたよらずがんばってます。
03D0,カペッチャ,農夫,目がギラギラってどんな意味だ？
03E0,ゾラック,兵士,この町は平和なものですよ。
03F0,ベードン,囚人,かったりぃかったりぃ……。
0400,ポレリア,商人,いやあ世の中上には上がいるもんですなあ。
0410,ウルエス,旅の商人,新しい武器を開発しましたよ。名づけて五頭の竜！
0420,ナニーワ,商人,わてもいつかこないな町作ってみたいもんですわ。
0430,ティゴス,商人,私が夢に見た相乗効果がついに実現したんですっ！
0440,グレント,旅の商人,この町にも鉄の金庫はないようです……。
0450,ロンソン,旅の商人,まず肩をもんでやろう。ん？それより腰の方がいいか？
0460,リーベルト,神父,神は私に言いました。見聞を広め人々にそれを伝えよと。
0470,レイア,シスター,この町があやまった道に進まぬよう尽力したおかげですばらしき発展をとげました。
0480,ピンキー,シスター,ちゃんと神さまの教えを守るんだー！
0490,ジョージ,農夫,おらあグレイト農夫に生まれてよかっただーよ！
04A0,ラクノン,農夫,今じゃ女の子の視線なんてひとつも気になりませんね。
04B0,テグラー,兵士,よっしゃ！がんばるぞーっ！
04C0,ノイマン,兵士,あれからまゆ毛も生えそろいました。
04D0,ロードム,兵士,いずれわれらも地獄の帝王と決する日が来るのだろうか……。
04E0,トゥムー,王さま,ここから天空の城が見えるなどとよくも大ウソを抜かしてくれたなっ！
04F0,ランチェ,貴婦人,天使のレオタードを着るためにこの町に来たのに
0500,シャン,貴婦人,この町はなかなか近代的ですわね。
0510,シェドック,ホビットおじさん,おめサとはー○○○○で出会って別れただなやー♪
0520,ランザール,天空人男,ここに魔族の王がいるそうですが
0530,リシェル,天空人女,一度天空城に戻ったほうがよいのかしら……。
0540,ニューマン,天空兵士,わが城へ帰るには飛んで帰ればよかったのだ！
0550,ゾーキー,骸骨,おいしそうな食べ物があんまりないのよん。
0560,スラピーノ,スライム,なんだかこの町スライムにとってとっても住みやすい町になったわ。
0570,タイボーク,グレートデーモン,すっかり精神がおだやかになったぞ。
0580,ニャニャ,アーマー,どうも魔族の者ばかりが増えてきたように思うのだが
0590,ギョロ,大目玉,疲れ目もすっかり治ったわ。
05A0,ピーキー,ミニデーモン,ホントに微妙なトコをついてくるヤツだな。
05B0,ウオン,イエティ,深ヅメも治ったしこの町も気に入ってるよ。
05C0,ルソン,男,いつかはぼくの理想的なひとに会えそうだよ。
05D0,ポラリス,女,いつの間にか女ばっかりの町になっちゃったのよ。
05E0,バート,おじさん,オレの枯れていたハートが日々若返っていくような感じがするぜ。
05F0,ホナジィ,老人,なつかしいのう。うんうん。
0600,エルザ,老婆,あんたのおかげで孫のロビンと生き別れにならんですんだわい。[ロビン]
0610,ロビン,男子供,旅人さんのおかげでこの町でおばあちゃんに会えたんだ。[エルザ]
0620,アリ,囚人,ここならノエルおじょうさまも追ってくることはないだろうよ。[ノエル]
0630,ノエル,女子供,あたちは追跡の旅に出るつもりでちゅよ。[アリ]
0640,リヴィエラ,メイド,ここでもメイドの職にはありつけませんでしたが
0650,キグニー,商人,友と待ち合わせていたんですが[コディ]
0660,コディ,旅の商人,これで商売にせいを出せるってもんです。[キグニー]
0670,クーガン,あらくれ,最近この町に本場モンのあらくれたヤツらがふえてきたんでちょっと怖いぜ。
0680,アンソニー,囚人,あんときはわけありといったがじつはただの脱獄なんだ。
0690,ブーケ,踊り子,わざわざこのブーケに会いに来てくれたってのかい？
06A0,ドリス,バニー,あいつはかなりねんちゃく質な性格だから……ぶるぶる。[ミロン]
06B0,ミロン,詩人,ぼくのもうそうの中の恋人がここからいなくなってしまったんだ。[ドリス]
06C0,ヒューイ,戦士,城でよう兵をやっていたころの経験が役にたつよ。
06D0,ハネス,老人,ここは大きな町だからほうふな研究材料がちょうたつできます。
06E0,クロエ,シスター,この町で地獄の帝王の恐怖におののく人々の心をいやしてさしあげます。
06F0,マシュー,農夫,農夫仲間がふえたおかげでこんな立派な畑ができあがったとですたい！
0700,バレル,おじさん,いつかこの町にじけい団を組織するのが夢なのだ。
0710,ディーノ,おじさん,発展途上にある町ゆえ城にいたとき以上のいそがしさだ。
0720,アイネ,姫,わたくしのような高貴な者には少々いなかくさいけれど
0730,クライネ,おばさん,まったく人さわがせなコさね。[アイネ]
0740,ナハトム,王さま,こんなカッコしとるが王ではない。
0750,ボーン,骸骨,ちっおどろかなかったか。
0760,マレンコフ,ミニデーモン,いっぱい魔物のいる城から逃げ出してきた。
0770,メヴィル,天空人男,ここの人間は天空人を知らないせいかとても私をめずらしがります。
0780,アロア,女,私と同じ夫に先立たれた女性もいるんですの。
0790,イネス,女,もう旅をする必要がなくなったってわけね。
07A0,ウイニー,メイド,暑さでたおれることがなくなって毎日かいてきに暮らしてます。
07B0,エバンス,旅の商人,同業者が多いぶんいろいろ勉強になったりもしますがね。
07C0,グーフィー,あらくれ,この町のあらくれモンは歯ごたえがあってサイコーだぜ。
07D0,ケンネル,船乗り,この町にはどこにも船なんかありゃしねえじゃねえかっ！
07E0,コッポラ,囚人,身なりに気を使うゆとりがない。困ったもんだぜ
07F0,サミュエル,囚人,この町にきてよかったぜ。
0800,スザナ,老婆,今じゃいっぱしの占い師じゃ。
0810,ゼブラ,戦士,決闘相手にことかかんよ。
0820,ソダン,あらくれ,オレは強いヤツを見つけては闘いをいどむという毎日を送ってるぜ。
0830,タルコフ,神父,この町につどった聖職者はすぐれた方たちばかりです。
0840,チン,ブタ,ブヒブヒブヒヒーン！ブヒッブヒッブヒヒヒ。
0850,コッコ,にわとり,クェックェックェッ。コケーコッコッコッコ！
0860,トマス,戦士,よおライアンじゃないか。
0870,ナスダ,詩人,いまだにふさわしい女性が見つからないんだ。
0880,ヌヌス,ホビットおじさん,オラは楽しくやってるっぺ。
0890,ネヴァン,エルフ,私の人生バラ色よ！
08A0,ノーラ,エルフ,ホビットや人間以外についてまなぶのも悪くないわね。
08B0,ハリス,天空兵士,地獄の帝王の恐怖心を少しでもやわらげるためにやって来ました。
08C0,ヒクソン,ぐしゃ顔,この際誰にでもわしの知識をさずけてやるわい。
08D0,フランソワ,アーマー,やっぱ人間以外のヤツらも地獄の帝王を怖れてるんだな。
08E0,ベホイミン,ベホイミスライム,うーん……やめてくれベホマン
08F0,ホーガン,大目玉,夜になると城の仲間のことを思い出すでござる。
