m_kind:int,m_aiueo:int,m_name,m_type,m_message1,m_message2
1,155,やくそう,どうぐ,１かいつかうとなくなる,なかまひとりのＨＰをかいふく
2,95,どくけし草,どうぐ,１かいつかうとなくなる,なかまひとりのどくをなおす
3,58,せいすい,どうぐ,１かいつかうとなくなる,すこしのあいだよわいてきをとおざける
4,27,キメラのつばさ,どうぐ,１かいつかうとなくなる,いちどいったばしょにもどれる
5,143,まんげつ草,どうぐ,１かいつかうとなくなる,なかまひとりのマヒをなおす
6,100,においぶくろ,どうぐ,１かいつかうとなくなる,すこしのあいだまものたちをよびよせる
7,72,ちからのたね,どうぐ,１かいつかうとなくなる,なかまひとりのちからがあがる
8,54,すばやさのたね,どうぐ,１かいつかうとなくなる,なかまひとりのすばやさがあがる
9,16,かしこさのたね,どうぐ,１かいつかうとなくなる,なかまひとりのかしこさがあがる
10,159,ラックのたね,どうぐ,１かいつかうとなくなる,なかまひとりのうんのよさがあがる
11,5,命のきのみ,どうぐ,１かいつかうとなくなる,なかまひとりのさいだいＨＰがあがる
12,120,ふしぎなきのみ,どうぐ,１かいつかうとなくなる,なかまひとりのさいだいＭＰがあがる
13,92,とうぞくのカギ,だいじなもの,ひつようなときつかおう,もっていればカギのあうとびらがひらく
14,139,まほうのカギ,だいじなもの,ひつようなときつかおう,もっていればカギのあうとびらがひらく
15,43,さいごのカギ,だいじなもの,ひつようなときつかおう,もっていればカギのあうとびらがひらく
16,140,まほうのせいすい,どうぐ,１かいつかうとなくなる,なかまひとりのＭＰをかいふく
17,158,ラーのかがみ,だいじなもの,ひつようなときつかおう,しんじつをうつしだすかがみ
18,15,おべんとう,どうぐ,１かいつかうとなくなる,おいしくたべてＨＰをかいふく
19,9,うまのふん,？？？,,ちょっとにおうぞ
20,63,せかいじゅの葉,だいじなもの,１かいつかうとなくなる,なかまひとりをよみがえらせる
21,62,せかいじゅのしずく,だいじなもの,１かいつかうとなくなる,なかますべてのＨＰをぜんかいさせる
22,70,ちいさなメダル,だいじなもの,ひつようなときつかおう,だれかがあつめているらしい
23,66,そらとぶくつ,ふしぎなもの,ひつようなときつかおう,はねのはえたふしぎなくつ
24,11,黄金のうでわ,ふしぎなもの,ひつようなときつかおう,きんいろにかがやくしんぴのうでわ
25,44,さえずりのみつ,だいじなもの,ひつようなときつかおう,すてきなうたごえになるみつ
26,3,あやかしの笛,ふしぎなもの,ひつようなときつかおう,ふしぎなまりょくをひめた　ふえ
27,78,鉄のきんこ,だいじなもの,もってるだけでこうかがある,ぜんめつしてもおかねがへらない
28,12,王子の手紙,だいじなもの,ひつようなときつかおう,リック王子がかいた　てがみ
29,13,王の手紙,だいじなもの,ひつようなときつかおう,エンドール王がかいた　てがみ
30,32,ぎんの女神像,だいじなもの,ひつようなときつかおう,ぎんいろにかがやくめがみぞう
31,157,やみのランプ,ふしぎなもの,ひつようなときつかおう,やみをともすランプ
32,57,せいじゃくの玉,ふしぎなもの,ひつようなときつかおう,たたかいのときてきのじゅもんをふうじる
33,18,かやくつぼ,だいじなもの,ひつようなときつかおう,かやくがつまったつぼ
34,50,じょうせん券,だいじなもの,ひつようなときつかおう,エンドールゆきのチケット
35,51,しんじる心,だいじなもの,ひつようなときつかおう,どんなひとでも心をひらくふしぎな宝石
36,60,聖なる種火,だいじなもの,ひつようなときつかおう,せいなるちからがやどった炎
37,68,たからの地図,だいじなもの,ひつようなときつかおう,でんせつのたからがしるされた地図
38,110,パデキアのたね,だいじなもの,ひつようなときつかおう,せいめいりょくんじみちあふれたたね
39,111,パデキアのねっこ,だいじなもの,ひつようなときつかおう,あらゆるやまいをなおすしんぴのねっこ
40,19,かわきの石,ふしぎなもの,ひつようなときつかおう,たくさんの水をすいこむふしぎな石
41,93,時の砂,ふしぎなもの,ひつようなときつかおう,たたかいのときをもどす
42,123,へんげの杖,ふしぎなもの,ひつようなときつかおう,すこしのあいだへんしんできるつえ
43,38,けんじゃの石,ふしぎなもの,ひつようなときつかおう,たたかいのときなかますべてのＨＰをかいふく
44,17,ガスのつぼ,だいじなもの,ひつようなときつかおう,ガスがつまったおおきなつぼ
45,115,バロンのつのぶえ,だいじなもの,ひつようなときつかおう,たたかいのときうまのたいぐんをよべる
46,64,せかいじゅの花,しんぴのはな,ひつようなときつかおう,１０００ねんにいちどさくまぼろしの花
47,153,モンスター図鑑,だいじなもの,ひつようなときつかおう,モンスターがのっているずかん
48,79,鉄のきんこ,だいじなもの,もってるだけでこうかがあった,ぜんめつしてもおかねがへらなかった
49,65,ミミックのいし,だいじなもの,ひつようなときつかおう,？？？
50,147,ぜんめつのいし,だいじなもの,ひつようなときつかおう,？？？
51,117,ひのきのぼう,ぶき,こうげきりょく,とくしゅこうかはないようだ
52,42,こんぼう,ぶき,こうげきりょく,とくしゅこうかはないようだ
53,81,鉄のツメ,ぶき,こうげきりょく,とくしゅこうかはないようだ
54,34,くさりがま,ぶき,こうげきりょく,とくしゅこうかはないようだ
55,83,鉄のやり,ぶき,こうげきりょく,とくしゅこうかはないようだ
56,103,はがねのつるぎ,ぶき,こうげきりょく,とくしゅこうかはないようだ
57,112,バトルアックス,ぶき,こうげきりょく,とくしゅこうかはないようだ
58,30,ぎんのタロット,ぶき,こうげきりょく,どうぐとしてうらないもできる
59,61,せいなるナイフ,ぶき,こうげきりょく,とくしゅこうかはないようだ
60,124,ホーリーランス,ぶき,こうげきりょく,とくしゅこうかはないようだ
61,36,クロスボウ,ぶき,こうげきりょく,とくしゅこうかはないようだ
62,56,せいぎのそろばん,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
63,77,鉄のおうぎ,ぶき,こうげきりょく,とくしゅこうかはないようだ
64,105,はぐれメタルの剣,ぶき,こうげきりょく,メタルけいによりダメージをあたえられる
65,96,どくばり,ぶき,こうげきりょく,きゅうしょをうまくつけばいちげき
66,160,りりょくの杖,ぶき,こうげきりょく,じぶんのＭＰをつかってこうげき
67,4,いかずちの杖,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
68,135,まじんのかなづち,ぶき,こうげきりょく,ミスしやすいがてきにあたればだいダメージ
69,152,もろはのつるぎ,ぶき,こうげきりょく,なにかキケンなにおいがする
70,97,ドラゴンキラー,ぶき,こうげきりょく,ドラゴンなどによりダメージをあたえられる
71,28,キラーピアス,ぶき,こうげきりょく,いちどに２かいこうげきできる
72,91,てんばつの杖,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
73,137,まどろみの剣,ぶき,こうげきりょく,ときどきねらったてきをねむらせる
74,94,どくがのナイフ,ぶき,こうげきりょく,ときどきねらったてきをマヒさせる
75,127,炎のツメ,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
76,40,こおりのやいば,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
77,24,きせきのつるぎ,ぶき,こうげきりょく,こうげきのときじぶんのＨＰがかいふく
78,138,まふうじの杖,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
79,133,マグマの杖,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
80,146,みなごろしの剣,ぶき,こうげきりょく,なにかキケンなにおいがする
81,49,しゅくふくの杖,ぶき,こうげきりょく,たたかいのときつかうとＨＰをかいふく
82,87,てんくうのつるぎ,ぶき,こうげきりょく,でんせつのつるぎ？
83,88,てんくうのつるぎ,ぶき,こうげきりょく,でんせつのぶきどうぐとしてもつかえる
84,128,ほほえみの杖,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
85,109,はじゃのつるぎ,ぶき,こうげきりょく,たたかいのときどうぐとしてもつかえる
86,114,はやぶさの剣,ぶき,こうげきりょく,いちどに２かいこうげきできる
87,74,デーモンスピア,ぶき,こうげきりょく,きゅうしょをうまくつけばいちげき
88,35,グリンガムのムチ,ぶき,こうげきりょく,てきグループにこうげきできる
89,102,はかいの鉄球,ぶき,こうげきりょく,てきぜんいんにこうげきできる
90,1,あくまのツメ,ぶき,こうげきりょく,ときどきねらったてきをどくにおかす
91,131,まかいのつるぎ,ぶき,こうげきりょく,こうげきのときじぶんのＨＰがかいふく
92,101,布の服,よろい,しゅびりょく,とくしゅこうかはないようだ
93,69,たびびとの服,よろい,しゅびりょく,とくしゅこうかはないようだ
94,23,皮のよろい,よろい,しゅびりょく,とくしゅこうかはないようだ
95,33,くさりかたびら,よろい,しゅびりょく,とくしゅこうかはないようだ
96,84,鉄のよろい,よろい,しゅびりょく,とくしゅこうかはないようだ
97,82,鉄のまえかけ,よろい,しゅびりょく,とくしゅこうかはないようだ
98,104,はがねのよろい,よろい,しゅびりょく,とくしゅこうかはないようだ
99,25,きぬのローブ,よろい,しゅびりょく,とくしゅこうかはないようだ
100,14,おどりこの服,よろい,しゅびりょく,とくしゅこうかはないようだ
101,59,せいどうのよろい,よろい,しゅびりょく,とくしゅこうかはないようだ
102,108,はぐれメタルよろい,よろい,しゅびりょく,じゅもんによるダメージをかるくできる
103,37,毛皮のコート,よろい,しゅびりょく,とくしゅこうかはないようだ
104,21,皮のドレス,よろい,しゅびりょく,とくしゅこうかはないようだ
105,118,ピンクのレオタード,よろい,しゅびりょく,とくしゅこうかはないようだ
106,99,ドラゴンメイル,よろい,しゅびりょく,ほのおなどのダメージをかるくできる
107,144,みかわしの服,よろい,しゅびりょく,ときどきてきのこうげきをかわす
108,141,まほうの法衣,よろい,しゅびりょく,じゅもんによるダメージをかるくできる
109,145,みずのはごろも,よろい,しゅびりょく,じゅもんほのおふぶきダメージをかるくできる
110,121,ふしぎなボレロ,よろい,しゅびりょく,うけたじゅもんのＭＰをたまにきゅうしゅう
111,89,てんくうのよろい,よろい,しゅびりょく,じゅもんによるダメージをかるくできる
112,154,やいばのよろい,よろい,しゅびりょく,ときどきうけたダメージをはねかえす
113,55,スパンコールドレス,よろい,しゅびりょく,とくしゅこうかはないようだ
114,90,てんしのレオタード,よろい,しゅびりょく,じゅもんほのおふぶきダメージをかるくできる
115,134,マジカルスカート,よろい,しゅびりょく,じゅもんによるダメージをかるくできる
116,156,やすらぎのローブ,よろい,しゅびりょく,ねむりやマヒしているときみをまもる
117,67,ゾンビメイル,よろい,しゅびりょく,なにかキケンなにおいがする
118,116,ひかりのドレス,よろい,しゅびりょく,ときどきうけたじゅもんをはねかえす
119,136,まじんのよろい,よろい,しゅびりょく,なにかキケンなにおいがする
120,53,ステテコパンツ,よろい,しゅびりょく,とくしゅこうかはないようだ
121,132,まかいのよろい,よろい,しゅびりょく,じゅもんによるダメージをかるくできる
122,52,,よろい,しゅびりょく,？？？
123,20,皮のたて,たて,しゅびりょく,とくしゅこうかはないようだ
124,10,うろこのたて,たて,しゅびりょく,とくしゅこうかはないようだ
125,80,鉄のたて,たて,しゅびりょく,ほのおやふぶきのダメージをかるくできる
126,71,ちからのたて,たて,しゅびりょく,たたかいのときどうぐとしてもつかえる
127,148,ミラーシールド,たて,しゅびりょく,うけたじゅもんのダメージをはねかえす
128,119,風神のたて,たて,しゅびりょく,たたかいのときどうぐとしてもつかえる
129,98,ドラゴンシールド,たて,しゅびりょく,ほのおやふぶきのダメージをかるくできる
130,86,てんくうのたて,たて,しゅびりょく,たたかいのときどうぐとしてもつかえる
131,106,はぐれメタルのたて,たて,しゅびりょく,たたかいのときどうぐとしてもつかえる
132,130,まかいのたて,たて,しゅびりょく,ほのおやふぶきのダメージをかるくできる
133,22,皮のぼうし,かぶと,しゅびりょく,とくしゅこうかはないようだ
134,122,ヘアバンド,かぶと,しゅびりょく,とくしゅこうかはないようだ
135,26,木のぼうし,かぶと,しゅびりょく,とくしゅこうかはないようだ
136,75,鉄かぶと,かぶと,しゅびりょく,とくしゅこうかはないようだ
137,76,てっかめん,かぶと,しゅびりょく,とくしゅこうかはないようだ
138,113,はねぼうし,かぶと,しゅびりょく,とくしゅこうかはないようだ
139,85,てんくうのかぶと,かぶと,しゅびりょく,ラリホーやマヒメダパニにかかりにくい
140,48,じゃしんのめん,かぶと,しゅびりょく,なにかキケンなにおいがする
141,29,きんのかみかざり,かぶと,しゅびりょく,メダパニにかかりにくい
142,46,しあわせのぼうし,かぶと,しゅびりょく,あるくごとにすこしずつＭＰがかいふく
143,107,はぐれメタルヘルム,かぶと,しゅびりょく,ラリホーやマヒメダパニにかかりにくい
