m_Lv:int,勇者:int,ライアン:int,アリーナ:int,クリフト:int,ブライ:int,トルネコ:int,マーニャ:int,ミネア:int,ピサロ:int
1,0,0,0,0,0,0,0,0,0
2,19,12,16,18,19,10,15,20,18
3,57,34,44,50,52,29,43,55,57
4,133,75,93,107,110,65,96,107,142
5,285,153,180,208,213,133,197,227,327
6,513,267,310,353,364,232,345,385,604
7,855,434,505,561,585,377,562,612,1019
8,1368,679,797,860,909,589,880,938,1641
9,2137,1038,1235,1289,1384,900,1347,1406,2574
10,3290,1565,1892,1905,2081,1356,2032,2078,3973
11,4803,2306,2795,2790,3061,1983,2973,3044,6333
12,6788,3348,4036,4062,4439,2845,4266,4432,10315
13,9393,4813,5742,5890,6376,4030,6043,6427,17034
14,12812,6873,8087,8517,9099,5659,8486,9294,28372
15,17299,9769,11311,12293,12928,7898,11845,13415,47504
16,22206,13208,14938,16659,17235,10556,15728,18179,69625
17,27573,17291,19018,21707,22080,13712,20217,23687,95202
18,33443,22139,23608,27543,27530,17459,25407,30055,124775
19,39863,27896,28771,34290,33661,21908,31407,37418,158968
20,46884,34732,34579,42091,40558,27191,38344,45931,198503
21,55002,42422,41113,50623,48317,33134,46148,55242,240508
22,64388,51073,48463,59954,57045,39819,54927,65425,285138
23,75240,60805,56731,70159,66864,47339,64803,76562,332557
24,87787,71753,66032,81320,77910,55799,75913,88743,382939
25,102294,84069,76495,93527,90336,65316,88411,102065,436469
26,119067,97924,88265,106878,104315,76022,102471,116635,493344
27,138460,113510,101506,121480,120041,88066,118288,132570,553773
28,160883,131044,116402,137450,137732,101615,136082,149998,617978
29,186809,150769,133160,154917,157634,116857,156100,169059,686195
30,216785,172959,152012,174021,180023,134004,178620,189906,758675
31,249571,197229,173220,195513,205210,153294,203955,213358,833420
32,285430,223774,197079,219691,233545,174995,232456,239741,910500
33,324650,252807,223920,246891,265421,199408,264519,269421,989988
34,367546,284561,254116,277491,301281,226872,300589,302811,1071960
35,414463,319291,288086,311916,341623,257769,341167,340374,1156493
36,465778,357276,326302,350644,387007,292528,386817,382632,1243667
37,521903,398822,369295,394213,438064,331631,438173,430172,1333565
38,583289,444262,417662,443228,485503,375621,485948,483654,1426272
39,650429,493962,472074,498369,560121,425109,560944,543821,1521876
40,723863,548321,533287,560402,632816,480783,634064,611508,1620467
41,804181,607776,602151,630189,714597,543416,716324,687655,1722138
42,892028,672804,679623,708699,806600,613878,808866,773320,1826986
43,988110,743928,766779,797022,910103,693147,912925,869693,1935110
44,1093199,821719,864829,896385,1026543,782324,1030097,978112,2046612
45,1208140,906802,975135,1008168,1157538,882648,1161859,1100083,2161598
46,1323081,991885,1085441,1119951,1288533,982972,1293621,1222054,2276584
47,1438022,1076968,1195747,1231734,1419528,1083296,1425383,1344025,2391570
48,1552963,1162051,1306053,1343517,1550523,1183620,1587145,1465996,2506556
49,1667904,1247134,1416359,1455300,1681518,1283944,1688907,1587967,2621542
50,1782845,1332217,1526665,1567083,1812513,1384268,1820669,1709938,2736528
