m_ID,m_name,m_HP:int,m_MP:int,m_o:int,m_d:int,m_q:int,m_ex:int,m_gold:int,m_item
000,スライム,8,0,9,5,3,1,2,やくそう
001,キリキリバッタ,8,0,8,5,8,1,2,やくそう
002,いたずらもぐら,10,0,10,6,5,2,4,やくそう
003,おおみみず,11,0,10,6,2,3,6,やくそう
004,はさみくわがた,9,0,9,5,3,1,4,やくそう
005,みみとびねずみ,11,0,11,6,9,3,5,皮のぼうし
006,ダックスビル,22,3,25,18,12,14,10,皮のたて
007,リリパット,21,3,26,20,20,13,15,布の服
008,つちわらし,13,0,13,8,5,4,10,やくそう
009,バブルスライム,12,0,11,9,8,6,8,どくけし草
00A,みならいあくま,17,2,16,10,7,11,13,ひのきのぼう
00B,メラゴースト,12,2,11,12,8,6,16,せいすい
00C,ホイミスライム,16,65535,13,8,12,7,11,やくそう
00D,ミノーン,16,0,8,22,8,5,18,キメラのつばさ
00E,おばけキノコ,19,0,19,15,10,6,15,やくそう
00F,キラースコップ,16,0,19,15,10,9,10,ちからのたね
010,ももんじゃ,10,0,10,6,5,3,8,やくそう
011,サンドマスター,30,0,30,3,24,22,27,布の服
012,どくやずきん,17,0,21,18,10,18,16,どくけし草
013,さそりアーマー,40,0,33,42,9,38,44,皮のよろい
014,エアラット,14,0,11,2,7,3,7,やくそう
015,ひとくいそう,17,0,21,16,4,7,18,やくそう
016,ベビーマジシャン,33,2,17,24,14,18,20,やくそう
017,あばれこまいぬ,23,0,19,18,7,7,20,キメラのつばさ
018,きゅうけつこうもり,25,3,25,22,14,11,23,すばやさのたね
019,ヘルビートル,20,0,11,13,10,16,21,こんぼう
01A,ピクシー,29,3,26,22,15,16,20,すばやさのたね
01B,きりかぶおばけ,21,0,18,8,1,7,13,やくそう
01C,おおめだま,42,0,29,32,20,27,40,やくそう
01D,どぐうせんし,400,65535,142,140,120,693,15,命のきのみ
01E,メイジももんじゃ,25,3,30,30,17,18,30,皮のぼうし
01F,アローインプ,27,0,46,36,21,47,16,たびびとの服
020,おおにわとり,31,0,28,22,18,20,9,やくそう
021,ポイズンリザード,34,0,35,32,15,18,21,どくけし草
022,さまようよろい,54,0,45,43,25,55,49,くさりかたびら
023,カメレオンマン,40,6,28,28,50,136,60,命のきのみ
024,ベロベロ,43,4,32,30,15,28,61,ひのきのぼう
025,マージマタンゴ,43,10,40,53,20,45,30,まほうのせいすい
026,あばれうしどり,20,0,22,12,10,7,17,ちからのたね
027,テベロ,25,0,21,20,15,15,25,皮のたて
028,ひとくいばこ,100,0,140,55,62,150,25,くさりかたびら
029,エビルハムスター,39,0,42,28,30,43,18,やくそう
02A,かまいたち,41,4,29,30,40,32,34,クロスボウ
02B,メタルスコーピオン,42,0,50,50,25,59,38,うろこのたて
02C,プテラノドン,41,8,28,24,19,36,50,すばやさのたね
02D,マンドレイク,30,0,44,34,15,26,17,ふしぎなきのみ
02E,ひとつめピエロ,36,3,31,30,16,27,52,命のきのみ
02F,はえおとこ,34,3,31,34,17,35,47,まほうのせいすい
030,バンプドック,38,6,40,29,28,36,24,せいなるナイフ
031,さまようたましい,40,0,20,39,1,20,28,せいすい
032,とらおとこ,50,0,54,32,20,30,50,たびびとの服
033,じごくのよろい,58,0,63,63,24,77,76,鉄のよろい
034,ベビーサラマンダ,40,0,42,26,27,59,58,やくそう
035,ダークドリアード,28,5,28,38,18,25,30,木のぼうし
036,ドードーどり,52,0,47,40,26,50,51,はねぼうし
037,おにこぞう,25,3,26,24,21,18,36,せいすい
038,コンジャラー,38,8,40,43,30,70,31,ラックのたね
039,あくまのす,25,5,60,130,5,80,10,くさりかたびら
03A,コドラ,32,0,30,33,25,25,39,ホーリーランス
03B,ブルホーク,52,6,43,55,26,49,39,鉄のやり
03C,ベビーサタン,40,0,49,33,23,80,75,ラックのたね
