m_ID:int,m_name,m_HP:int,m_MP:int,m_q:int,m_o:int,m_d:int,m_ex:int,m_gold:int,m_item
0,スライム,7,0,3,7,5,1,1,やくそう
1,とげぼうず,7,0,5,8,6,2,2,やくそう
2,せみもぐら,10,0,4,9,7,3,2,やくそう
3,ドラキー,10,0,7,11,9,4,2,やくそう
4,おおきづち,18,0,10,2,2,6,3,やくそう
5,いっかくうさぎ,12,0,8,13,7,4,3,かわのぼうし
6,グリーンワーム,15,0,5,10,8,4,4,かしこさのたね
7,ガップリン,19,5,12,23,17,10,9,キメラのつばさ
8,くびながイタチ,16,0,8,11,9,5,6,すばやさのたね
9,バブルスライム,15,0,7,12,7,6,7,どくけしそう
10,おおねずみ,18,0,9,12,10,4,8,やくそう
11,スカルサーペント,15,0,11,19,13,7,6,やくそう
12,つちわらし,22,0,13,19,11,11,10,たけのやり
13,メラリザード,23,5,16,20,20,14,14,かわのぼうし
14,ベビーパンサー,19,0,10,16,13,6,7,ただのぬのきれ
15,マッドプラント,18,5,14,21,14,13,10,ふしぎなきのみ
16,スピニー,22,0,16,21,30,15,13,やくそう
17,ジャミ,2000,255,65,150,2047,0,0,ちいさなメダル
18,まほうつかい,20,9,15,21,17,18,20,まほうのせいすい
19,サボテンボール,22,0,14,22,14,15,12,やくそう
20,ラーバキング,30,0,13,23,17,16,15,やくそう
21,ナイトウイプス,17,3,12,18,14,9,10,やくそう
22,スカンカー,28,0,18,23,21,15,16,キメラのつばさ
23,おばけねずみ,31,0,14,20,19,18,13,すばやさのたね
24,ドラキーマ,30,8,13,25,24,18,13,たびびとのふく
25,ゴースト,19,0,14,15,15,10,9,せいすい
26,おばけキャンドル,20,3,13,20,17,13,11,ブロンズナイフ
27,がいこつへい,42,0,20,52,50,30,19,どうのつるぎ
28,アルミラージ,27,0,17,25,25,20,15,けがわのフード
29,カパーラナーガ,25,0,15,30,31,24,14,とがったホネ
30,ホイミスライム,35,255,15,17,20,19,15,やくそう
31,わらいぐさ,24,4,16,23,28,17,3,ふしぎなきのみ
32,ダンスニードル,33,0,14,35,30,19,15,きのぼうし
33,ベビーニュート,37,5,17,40,38,20,19,いしのキバ
34,トンネラー,35,0,9,34,51,21,9,やくそう
35,ジャミ,820,255,50,120,120,3500,0,ちいさなメダル
36,どぐうせんし,50,3,19,39,38,25,17,まもりのたね
37,ダークアイ,34,0,22,38,19,27,19,やくそう
38,スライムナイト,40,6,20,44,45,37,22,せいどうのよろい
39,わらいぶくろ,31,255,25,33,15,10,55,キメラのつばさ
40,ブラウニー,47,0,8,15,28,24,18,まもののエサ
41,エビルアップル,30,3,19,41,35,35,25,やくそう
42,ばくだんベビー,33,0,15,49,46,37,32,ばくだんいし
43,ガスミンク,37,0,24,41,28,40,40,うろこのたて
44,ゲマ,1024,255,8,120,100,0,0,ひのきのぼう
45,メタルスライム,5,12,115,39,2047,1350,75,すばやさのたね
46,ピッキー,30,3,21,44,41,41,32,キメラのつばさ
47,ジャミ,180,255,35,75,116,0,0,ちからのたね
48,おばけきのこ,35,0,24,43,37,42,35,どくけしそう
49,ともしびこぞう,41,6,22,51,36,44,42,ブロンズナイフ
50,ゴンズ,170,0,25,85,126,0,0,ちからのたね
51,くさったしたい,70,0,10,48,2,67,15,ただのぬのきれ
52,アウルベアー,41,0,26,55,31,45,40,てつのたて
53,イエティ,48,0,23,56,40,49,37,せいすい
54,ひとくいばこ,90,3,12,60,50,23,95,ちいさなメダル
55,ガメゴン,30,0,20,53,110,48,55,まもりのたね
56,ゴンズ,170,0,25,85,126,0,0,ちからのたね
57,まどうし,48,8,28,54,30,45,47,まほうのせいすい
58,ドラゴンキッズ,52,0,25,59,33,50,45,いのちのきのみ
59,パパス,410,65,60,117,60,0,0,なし
60,さんぞくウルフ,40,0,29,64,39,48,42,どうのつるぎ
61,ムチおとこ,65,0,21,40,38,50,60,すばやさのたね
62,クックルー,36,5,27,62,35,44,31,やくそう
63,インスペクター,49,5,31,55,40,52,38,キメラのつばさ
64,ニセたいこう,350,0,35,70,90,750,320,ふしぎなきのみ
65,エンプーサ,42,0,32,49,37,55,42,かわのこしまき
66,キラーパンサー,1024,0,40,65,160,0,0,すばやさのたね
67,ようがんげんじん,400,0,21,90,50,350,250,まほうのせいすい
68,ビックアイ,54,10,25,60,40,62,35,おおきづち
69,あくまのツボ,200,7,45,7,92,71,79,ちいさなメダル
70,エビルプラント,42,0,32,57,31,59,30,いばらのムチ
71,メタルライダー,50,8,35,61,75,135,61,てつのむねあて
72,さまようよろい,57,0,31,75,64,65,50,さまようよろい
73,モーザ,57,4,30,59,64,67,40,てつのたて
74,ドロヌーバ,75,0,20,70,40,60,31,いのちのきのみ
75,はぐれメタル,7,255,150,61,2047,10050,10,ちいさなメダル
76,カンダタ,600,25,30,95,85,1150,500,いしのオノ
77,ミステリドール,70,8,35,65,95,50,150,まもりのたね
78,デスパロット,40,0,37,58,56,71,40,キメラのつばさ
79,ビッグスロース,65,2,35,75,50,74,42,ちからのたね
80,パペットマン,52,0,44,63,71,78,30,おどりこのふく
81,デススパーク,35,8,36,60,58,84,37,まほうのせいすい
82,ゴンズ,1700,0,80,200,190,3500,650,ちいさなメダル
83,とつげきへい,60,0,41,75,72,86,42,てつのむねあて
84,リビングデッド,105,0,15,64,15,85,21,せかいじゅのは
85,スモールグール,50,0,40,70,52,90,22,やくそう
86,ホースデビル,70,8,43,83,68,101,55,まもののエサ
87,ゲマ,4500,255,90,280,250,12000,900,ちいさなメダル
88,ラマダ,2000,255,55,265,200,8500,800,こんぼう
89,キラーパンサー,69,0,51,71,54,100,45,てつのツメ
90,カンダタこぶん,500,30,65,130,90,750,150,ちいさなメダル
91,グレゴール,75,12,40,70,60,95,43,せいすい
92,メタルハンター,53,0,50,81,90,140,41,かしこさのたね
93,ミミック,400,10,52,110,150,210,110,ちいさなメダル
94,キメラ,65,7,44,72,65,110,55,キメラのつばさ
95,へびこうもり,63,0,42,79,61,80,33,まんげつそう
96,ベロゴン,85,0,32,64,42,99,35,においぶくろ
97,ダークマンモス,110,0,41,90,65,115,55,ちからのたね
98,ばくだんいわ,115,2,10,69,12,120,13,ばくだんいし
99,ランスアーミー,82,0,51,85,64,105,41,てつのむねあて
100,まものつかい,70,0,43,60,58,135,53,いばらのムチ
101,マドルーパー,83,4,40,91,35,120,31,まもりのたね
102,おどるほうせき,45,255,70,55,110,80,200,いのりのゆびわ
103,ベホマスライム,69,255,37,47,62,70,43,せかいじゅのは
104,ガスダンゴ,92,0,23,80,40,130,40,どくけしそう
105,オーク,85,0,45,90,64,125,55,けがわのマント
106,スライム,55,0,56,53,35,24,18,やくそう
107,キングスライム,210,15,40,115,58,200,115,せかいじゅのは
