m_ID:int,m_name,m_mera:int,m_gira:int,m_io:int,m_hyado:int,m_bagi:int,m_dein:int,m_zaki:int,m_megante:int,m_nifuramu:int,m_rariho:int,m_mahoton,m_manusa:int,m_medapani:int,m_mahotora:int,m_rukani:int,m_psn:int,m_rest:int
0,スライム,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
1,とげぼうず,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
2,せみもぐら,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
3,ドラキー,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
4,おおきづち,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
5,いっかくウサギ,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
6,グリーンワーム,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
7,ガップリン,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,くびながイタチ,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
9,バブルスライム,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,3,0
10,おおねずみ,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
11,スカルサーペント,0,1,0,0,0,0,0,0,1,1,3,1,0,3,0,0,0
12,つちわらし,0,0,0,0,0,0,0,0,1,0,3,2,0,3,0,0,0
13,メラリザード,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
14,ベビーパンサー,0,0,0,0,0,0,0,0,1,1,3,1,0,3,0,0,0
15,マッドプラント,0,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0
16,スピニー,2,0,2,2,0,2,0,0,1,1,3,0,0,3,0,0,0
17,ジャミ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,まほうつかい,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
19,サボテンボール,0,0,0,2,0,2,0,0,2,1,3,1,0,3,0,0,0
20,ラーバキング,2,2,2,0,0,0,0,0,1,1,3,0,0,3,0,0,0
21,ナイトウイプス,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0
22,スカンカー,0,0,2,1,0,0,0,0,1,1,3,0,0,3,0,0,0
23,おばけねずみ,0,0,0,0,0,0,0,0,2,0,3,1,0,3,0,0,0
24,ドラキーマ,1,1,1,3,2,1,1,0,2,1,2,1,0,2,0,0,0
25,ゴースト,0,0,0,0,0,0,3,0,1,1,3,1,0,3,0,0,0
26,おばけキャンドル,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
27,がいこつへい,0,0,0,1,1,0,2,0,1,2,3,2,2,3,0,0,0
28,アルミラージ,0,0,0,3,2,2,1,0,2,1,3,1,0,3,0,0,0
29,カパーラナーガ,0,1,2,1,2,2,2,0,1,1,3,0,0,3,0,0,0
30,ホイミスライム,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0
31,わらいぐさ,0,1,2,2,0,0,2,0,1,2,2,1,0,2,0,0,0
32,ダンスニードル,0,1,1,0,1,0,1,0,1,1,3,0,0,3,0,0,0
33,ベビーニュート,0,1,0,0,0,0,1,0,2,2,2,2,0,2,0,0,0
34,トンネラー,0,0,0,0,0,0,1,0,2,2,3,0,0,3,0,0,0
35,ジャミ,0,0,0,0,0,0,3,3,3,3,3,0,3,3,0,3,3
36,どぐうせんし,0,0,0,2,0,0,3,0,2,3,2,3,0,2,0,1,0
37,ダークアイ,1,2,3,0,0,0,1,0,2,2,3,0,3,3,0,0,0
38,スライムナイト,0,2,2,0,2,2,1,0,2,2,2,2,2,2,1,0,0
39,わらいぶくろ,1,2,3,0,2,0,0,0,1,1,3,0,3,3,0,2,0
40,ブラウニー,0,0,0,0,0,0,1,0,2,2,3,2,1,3,0,0,0
41,エビルアップル,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0
42,ばくだんベビー,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,1,1
43,ガスミンク,0,0,1,0,0,0,0,0,1,1,3,0,0,3,0,0,0
44,ゲマ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,メタルスライム,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,2
46,ピッキー,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0
47,ジャミ,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
48,おばけきのこ,0,0,1,0,0,0,0,0,1,0,3,2,1,3,0,2,0
49,ともしびこぞう,2,2,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1
50,ゴンズ,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
51,くさったしたい,0,0,0,0,0,0,3,0,0,0,3,0,3,3,3,3,0
52,アウルベアー,0,0,0,0,2,1,1,0,1,1,3,1,0,3,0,0,0
53,イエティ,0,0,0,3,1,0,1,0,1,1,3,1,1,3,0,0,0
54,ひとくいばこ,0,0,0,0,0,0,3,0,3,3,3,3,3,0,1,0,0
55,ガメゴン,0,0,0,0,0,0,1,0,1,2,3,1,0,3,0,1,1
56,ゴンズ,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
57,まどうし,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0
58,ドラゴンキッズ,2,2,1,1,0,0,1,0,2,1,3,1,1,3,0,0,0
59,パパス,1,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3
60,さんぞくウルフ,0,0,0,0,0,0,1,0,1,1,3,2,0,3,0,0,1
61,ムチおとこ,0,0,0,0,0,0,1,3,3,1,3,1,3,3,3,3,3
62,クックルー,0,0,1,1,2,0,0,0,1,1,0,1,0,3,0,0,0
63,インスペクター,2,3,2,1,1,0,1,0,1,3,2,3,0,3,0,0,0
64,ニセたいこう,0,0,2,0,0,0,3,3,3,3,3,0,3,3,0,3,1
65,エンプーサ,0,0,0,0,0,0,1,0,1,3,3,0,2,3,0,2,1
66,キラーパンサー,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
67,ようがんげんじん,3,3,2,1,0,0,3,2,3,2,3,1,2,3,1,3,3
68,ビックアイ,0,1,1,2,0,0,1,0,1,2,0,3,0,2,0,0,0
69,あくまのツボ,2,2,2,2,2,2,2,0,3,3,3,3,3,3,1,3,3
70,エビルプラント,0,0,0,0,0,0,1,0,2,2,3,0,1,3,1,1,0
71,メタルライダー,0,1,1,1,0,0,1,0,2,2,0,2,2,2,1,2,2
72,さまようよろい,0,0,0,0,0,0,1,0,2,1,3,1,1,3,1,1,1
73,モーザ,0,0,0,2,2,0,1,0,1,1,0,1,1,2,1,0,0
74,ドロヌーバ,0,0,1,1,1,0,1,0,1,1,3,2,1,3,0,0,0
75,はぐれメタル,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
76,カンダタ,1,1,1,0,1,0,3,3,3,3,0,1,3,3,0,3,3
77,ミステリドール,0,1,1,0,0,0,1,0,1,2,1,2,1,2,0,0,2
78,デスパロット,0,1,1,0,0,0,1,0,1,2,3,1,1,3,0,0,0
79,ビッグスロース,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0
80,パペットマン,2,2,2,2,0,0,1,0,0,1,3,2,0,3,0,2,0
81,デススパーク,2,3,1,0,0,0,1,0,0,1,0,1,2,2,0,0,1
82,ゴンズ,0,0,0,0,3,2,3,3,3,3,3,3,3,3,0,3,1
83,とつげきへい,0,0,0,0,2,0,1,0,1,2,3,3,0,3,0,1,2
84,リビングデッド,0,0,0,0,0,0,2,0,0,1,3,2,2,3,0,3,1
85,スモールグール,0,1,2,1,1,0,1,0,1,1,3,2,2,3,0,0,1
