ロード:分類:向き:MX:MY:LV:とうぞくのはな:レミラーマ:メッセージ
0:立て札 B:0:0192:00ED:0:0:0:『これより北東 ダーマの神殿あと』
0:立て札 B:0:0074:00BD:0:0:0:『ここより南東 水きよき町アモール』
0:立て札 B:0:0168:0059:0:0:0:『おしゃれな人 もとむ！！[AD](...)
0:立て札 B:0:016C:009B:0:0:0:『この北 モンストルの町』
0:立て札 B:0:0182:00C5:0:0:0:『これより東 ダーマの神殿あり』
0:立て札 B:0:006A:00A3:0:0:0:『あばれ馬 注意！』
0:立て札 B:0:00D0:005F:0:0:0:『ここから南西 シエーナの町』
0:立て札 B:0:00B4:0133:0:0:0:『ここより北 井戸あり』
0:立て札 B:0:0182:00C5:0:0:0:『これより東 ダーマの神殿あり』
0:タル:0:001A:0019:0:0:0:とくに 何も 見つからなかった。
0:タル:0:001C:0019:0:0:0:とくに 何も 見つからなかった。
0:タル:0:000A:000B:0:0:0:とくに 何も 見つからなかった。
0:タル:0:000C:000B:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0044:0025:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0046:0027:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0020:0043:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:001E:0045:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0042:0057:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0030:0065:0:0:0:とくに 何も 見つからなかった。
0:立て札 A:0:0046:0033:0:0:0:『村長の家[AD] このうえ』
0:落書き:0:0043:0061:0:0:0:『ランドの バカ』
0:タル:0:0016:0011:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0018:0011:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0020:0011:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:001C:0011:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0014:001B:0:0:0:とくに 何も 見つからなかった。
0:タンス:0:0022:0010:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0024:0010:0:0:0:とくに かわった本は ないようだ。
0:引き出し:0:001E:0011:0:0:0:とくに 何も 見つからなかった。
