m_ID:int,m_name,m_explain
0,なし,ヌル。
1,メラ,ちいさな　ひのたま
2,メラミ,おおきな　ひのたま
3,メラゾーマ,はげしく　きょだいな　ひのたま
4,ギラ,てきグループに　ちいさなほのお
5,ベギラマ,てきグループに　ほとばしる　ほのお
6,ベギラゴン,てきグループに　しゃくべつの　ほのお
7,イオ,ばくはつ
8,イオラ,だいばくはつ
9,イオナズン,そうぞうを　ぜっする　だいばくはつ
10,バギ,みをきりさく　たつまき
11,バギマ,みをきりさく　はげしい　たつまき
12,バギクロス,すべてを　きりきざむ　だいたつまき
13,ヒャド,てきひとりに　こおりのやいば
14,ヒャダルコ,てきグループに　こおりのやいば
15,マヒャド,てきぜんたいに　れいきのあらし
16,ライデイン,てきぜんたいに　いなずま
17,ギガデイン,てきグループに　はげしい　いなずま
18,ミナデイン,ちからをあわせ　てきひとりに　かみのいかり
19,ザキ,てきひとりに　しの　ことば
20,ザキ,
21,ザラキ,てきグループに　しの　ことば
22,ザラキ,
23,ザラキーマ,てきぜんたいに　しの　ことば
24,ザラキーマ,
25,ニフラム,てきをけしさる
26,メガンテ,いのちをすて　じばくする
27,ラリホー,てきを　ねむりにさそう
28,ラリホーマ,てきをふかい　ねむりにさそう
29,マホトーン,てきのまほうを　ふうじこめる
30,マヌーサ,まぼろしで　てきをつつむ
31,メダパニ,てきを　こんらんさせる
32,メダパニ,
33,マホトラ,てきひとりから　ＭＰをすいとる
34,マホカンタ,まほうを　はねかえす
35,マホキテ,じぶんのうけた　まほうのＭＰを　じぶんのものに
36,ルカニ,てきひとりの　しゅびりょくを　さげる
37,ルカナン,てきグループの　しゅびりょくを　さげる
38,スカラ,なかまひとりの　しゅびりょくを　あげる
39,スカラ,
40,スカラ,
41,スクルト,なかまぜんぶの　しゅびりょくを　あげる
42,フバーハ,ほのおや　ふぶきから　みをまもる
43,バイキルト,なかまひとりの　こうげきりょくを　２ばいにする
44,モシャス,＊＊＊　敵専用。
45,ドラゴラム,ドラゴンになり　ほのおをはく
46,アストロン,てつのかたまり　に　なる
47,アストロン,
48,ホイミ,なかまひとりの　ＨＰを３０～　かいふく
49,ホイミ,
50,ホイミ,
51,ベホイミ,なかまひとりの　ＨＰを８０～　かいふく
52,ベホイミ,
53,ベホイミ,
54,ベホマ,なかまひとりの　ＨＰをすべて　かいふく
55,ベホマ,
56,ベホマ,
57,ベホマラー,なかまぜんぶの　ＨＰを１００～　かいふく
58,ベホマズン,なかまぜんぶの　ＨＰをすべて　かいふく
59,ザオラル,なかまひとりを　いきかえらせる
60,ザオリク,なかまひとりを　かんぜんに　いきかえらせる
61,メガザル,いのちをすて　なかまぜんぶを　いきかえらせる
62,キアリー,どくをけしさる
63,キアリク,マヒをなおす
64,パルプンテ,なにがおこるか　わからない
65,つうじょうこうげき,普通の攻撃。
66,ちからため,きあいをためて　つぎのこうげきに　そなえる
67,気合いため,ちからをためて　つぎのこうげきに　そなえる
68,めいそう,めいそうして　ＨＰをかいふく
69,大ぼうぎょ,すべての　こうげきから　みをまもる
70,身がわり,なかまひとりを　かばう
71,におう立ち,なかまのまえに　たちはだかり　たてと　なる
72,身かわしきゃく,みを　かわす　あしどりを　はじめる
73,せいれいの歌,しんでいる　なかまをも　いきかえす
74,マホターン,１ターンだけ　まほうを　はねかえす
75,おいかぜ,ほのおや　ふぶきを　はねかえす
76,しっぺ返し,てきから　やられたことを　やりかえす
77,受けながし,てきの　こうげきを　うけながす
78,マジックバリア,まほうにたいし　バリアをはる
79,ふしぎなおどり,てきのＭＰを　へらす
80,さそうおどり,てきにも　おどりを　おどらせる
81,死のおどり,しに　いざなう　おどりをおどる
82,ハッスルダンス,なかまのＨＰを　７０～かいふく
83,メガザルダンス,なかまのために　いのちをすてて　おどりをおどる
84,メダパニダンス,へんてこな　おどりで　てきをこんらん
85,マホトラおどり,おどって　てきひとりから　ＭＰをすいとる
86,おどりふうじ,おどって　てきのおどりを　ふうじこめる
87,あまい息,あまい息で　てきをねむりに　さそう
88,どくの息,てきグループを　どくにおかす
89,もうどくのきり,てきグループを　もうどくに　おかす
90,やけつく息,やけつくような息で　てきを　マヒさせる
91,あやしいきり,まほうをすべて　きかなくする
92,すなけむり,すなをまきあげ　めをくらませる
93,まぶしい光,ひかりをはなち　めをくらませる
94,ぶきみな光,光をはなち　まほうをすべて　ききやすくする
95,なめまわし,ベロッとなめて　みをすくませる
96,ひゃくれつなめ,ベロベロなめて　しゅびりょくを　さげる
97,おたけび,おおごえをあげ　みをすくませる
98,突きとばし,てきをとおくへ　つきとばす
99,足ばらい,あしをはらって　ころばせる
100,いてつく波動,すべての　まほうこうかを　けしさる
101,いなずま,いなずまを　よびよせ　てきをこうげき
102,かまいたち,かまいたちを　まきおこし　てきをきりさく
103,しんくう波,しんくうの　やいばをとばす
104,火の息,ほのおの息
105,かえんの息,おおきな　ほのおの息
106,はげしい炎,はげしい　ほのおの息
107,しゃくねつ,しゃくねつの　ほのおをはく
108,つめたい息,つめたい息
109,こおりの息,こおりつく息
110,こごえるふぶき,すべてが　こごえるほどの　ふぶきをはく
