m_ID:int,m_name,m_stat,m_comment
1,ダンパフパ,男,音楽のごとく　人生が送れそうです。
2,ネッド,男,じつは　この町でも　また　フラれちゃったんだ。
3,バクル,男,町も　ぼくも　これから　どんどん立派になっていく。
4,マイケル,男,この町で　ひと皮　むけた気がします。
5,マックス,男,ああ　シゲキ的だなあ。
6,マロン,男,町から町へ　流れて　ここへ　たどりつきました。
7,ワイフノン,男,買い物帰りで　道に　迷っている　女性を　見かけませんでしたか？
8,ベニス,女,当分は　ひっこさずに　ここで　暮らすことにするわね。
9,サーラ,女,母は　まだ見つかりませんが　ここなら　会える気が　します。
10,スージー,女,この町の食べ物が　結構　気に入っちゃったみたい！
11,ステラ,女,だって　次から次へと　マッチョな男性が　やってくるの。
12,ヤスミン,女,今度はなるべく　ちらかさないように　してるの。
13,ララーニャ,女,おかげで　人生が　やりなおせそうよ。
14,ロレアル,女,どう？　あいかわらず　イカしてるでしょ？　わ・た・し。
15,グルベル,おばさん,ここも　けっこう　いい所だね。
16,シシリー,おばさん,あたしの　夫と子供は　いなかったけど
17,デイジー,おばさん,いやあ～　やっぱし　ひとり身は　気楽でいいわねえ。
18,ハナ,おばさん,過去を　すてさり　この町で　新しい生活を　はじめてんのさ。
19,マーシャ,おばさん,男たちが　残さず食べてくれるから　はりあいが　あるよ。
20,ミルト,おばさん,あんたも　元気そうで　なにより！
21,カストル,おじさん,毎日　マジメに　人生を　送ってますよ。
22,シンロック,おじさん,まだ　地図作りの旅は　終わってないのですが
23,ハリエット,おじさん,スリムなわしが　見れたのに　残念無念です。
24,ヤースゴ,おじさん,ここも　なかなか　悪くないな。ふふん。
25,オジー,ろうじん,わしゃあ　オジーじゃ。
26,ダステン,ろうじん,ここは　いいところじゃぞう。
27,ドークス,ろうじん,お前さんたち　わしと一緒に　格闘王を目指す気はないか！？
28,ホホトル,ろうじん,お告げのとおり　今は　幸せに　暮らしておるぞ。
29,ロローシ,ろうじん,ここまでの旅は　キツかったわい。
30,ドリス,ろうば,わしは　ここを　ほんに　気に　いっとるよ。
31,フロッカ,ろうば,おかげさまで　何事もなく　暮らしてますよ。
32,ヒルデ,ろうば,思いきって　息子の家を　出て　よかったよ。
33,ベベ,ろうば,この町は　住みやすいのう。若返ったようじゃ。
