m_aiueoID:int,m_kindID:int,m_name,m_type,m_comment,m_usage
497,1,やくそう,どうぐ,１かいつかうと なくなる,なかまひとりの ＨＰをかいふく
234,2,どくけし草,どうぐ,１かいつかうと なくなる,なかまひとりの どくをなおす
167,3,せいすい,どうぐ,１かいつかうと なくなる,すこしのあいだ よわいてきを とおざける
92,4,キメラのつばさ,どうぐ,１かいつかうと なくなる,いちどいった ばしょに もどれる
175,5,せかいじゅの葉,どうぐ,ひつようなとき つかおう,なかまひとりを よみがえらせる
174,6,せかいじゅのしずく,だいじなもの,ひつようなとき つかおう,なかますべての ＨＰを ぜんかいさせる
465,7,まんげつ草,どうぐ,１かいつかうと なくなる,なかまひとりの マヒをなおす
448,8,まほうのせいすい,どうぐ,１かいつかうと なくなる,なかまひとりの ＭＰをかいふく
231,9,時の砂,だいじなもの,ひつようなとき つかおう,たたかいの ときをもどす
111,10,けんじゃの石,だいじなもの,ひつようなとき つかおう,なかますべての ＨＰをかいふく たたかいのとき
14,11,命の石,どうぐ,ひつようなとき つかおう,もっていれば みがわりで くだけちる
204,12,ちからのたね,どうぐ,１かいつかうと なくなる,なかまひとりの ちからが あがる
157,13,すばやさのたね,どうぐ,１かいつかうと なくなる,なかまひとりの すばやさが あがる
60,14,かしこさのたね,どうぐ,１かいつかうと なくなる,なかまひとりの かしこさが あがる
463,15,まもりのたね,どうぐ,１かいつかうと なくなる,なかまひとりの みのまもりが あがる
15,16,命のきのみ,どうぐ,１かいつかうと なくなる,なかまひとりの さいだいＨＰが あがる
297,17,ふしぎなきのみ,どうぐ,１かいつかうと なくなる,なかまひとりの さいだいＭＰが あがる
23,18,うつくし草,どうぐ,１かいつかうと なくなる,なかまひとりの かっこよさが あがる
439,19,まだらくも糸,どうぐ,１かいつかうと なくなる,たたかいのとき てきに いとを からみつかせる
232,20,どくがのこな,どうぐ,１かいつかうと なくなる,たたかいのとき てきを こんらんさせる
228,21,とうぞくのカギ,だいじなもの,ひつようなとき つかおう,もっていれば たからばこが あけられるぞ
445,22,まほうのカギ,だいじなもの,ひつようなとき つかおう,もっていれば たからばこが あけられるぞ
128,23,さいごのカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
398,24,ふしぎなちず,だいじなもの,ひつようなとき つかおう,□ボタンで せかいの ちずがみられる
298,25,ふしぎな石版,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
194,26,ちいさなメダル,だいじなもの,ひつようなとき つかおう,だれかが あつめている らしい
195,27,ちいさなメダル,だいじなもの,ひつようなとき つかおう,だれかが あつめている らしい
196,28,ちいさなメダル,だいじなもの,ひつようなとき つかおう,だれかが あつめている らしい
160,29,スライムの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
101,30,くさった死体の心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
30,31,エビルタートルの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
47,32,おどる宝石の心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
