m_type,m_name,m_floor,m_memo
C,C1HOUT,エスタード城下町,
C,C1HCHIN,エスタード城下町の教会,
C,C1H1IN,エスタード城下町の民家,幼女
C,C1H2IN1F,エスタード城下町の民家,老夫婦
C,C1H2IN2F,エスタード城下町の民家,女、ネコ
C,C1H3IN,ホンダラおじさんの家,
C,C1H4IN1F,エスタード城下町の店屋,
C,C1H4IN2F,エスタード城下町の民家,オルカ
C,C1H5IN1F,エスタード城下町の宿屋,
C,C1H5IN2F,エスタード城下町の宿屋,
C,C1H6IN,エスタード城下町の宿屋,おじさん
C,C1IDO,エスタード城下町の井戸,
C,C1OUT,グランエスタード城,外観
C,C1F1,グランエスタード城の１Ｆ,
C,C1F2,グランエスタード城の２Ｆ,
C,C1F32,グランエスタード城の３Ｆ,学者
C,C1F33,グランエスタード城の３Ｆ,老人
C,C1B11,グランエスタード城のＢ１,船番
C,C1B12,グランエスタード城のＢ１,囚人
C,C1B13,グラネスタード城の宝物庫,
C,C1B14,城の食料貯蔵庫,
C,C1B15,グランエスタード城のＢ１,階段のみ
C,C1B2A,グランエスタード城のＢ２,本棚
C,C1B2B,グランエスタード城のＢ２,石版
C,C1C1,グランエスタード城の王室,
C,C2OUT,フォロッド城,過去／外観
C,C2INFC,フォロッド城の１Ｆ,
C,C2INF1L,フォロッド城の兵士つめ所,
C,C2INF1R,フォロッド城の作業場?,
C,C2INF1REV,フォロッド城の作業場,
C,C2INF2,フォロッド城の王室,
C,C2INTWL,フォロッド城の２Ｆ,女
C,C2INTWR,フォロッド城の２Ｆ,無人の部屋
C,C2B1F,フォロッド城のＢ１,
C,C2NOUT,フォロッド城,現在／外観
C,C2NINF1C,フォロッド城の１Ｆ,
C,C2NINF1L,フォロッド城の兵士つめ所,
C,C2NINF1R,フォロッド城の作業場,なぜかベッド
C,C2NINF1REV,フォロッド城の作業場,
C,C2NINF2,フォロッド城の王室,
C,C2NINTWL,フォロッド城の２Ｆ,
C,C2NINTWR,フォロッド城の２Ｆ,
C,C2NB1F,フォロッド城のＢ１,
C,C3NOUT,砂漠の城,現在／外観
C,C3NOUTEN,,砂漠の城エンディングモード
C,C3INB2B,砂漠の城,過去／ガイコツ
C,C3INF1,砂漠の城,過去／城内１Ｆ
C,C3NINB1,砂漠の城のＢ１,現在
C,C3NINB2,砂漠の城のＢ２,現在／墓
C,C3NINB3,砂漠の城の神殿,メイン
C,C3NINB3B,砂漠の城の神殿,宝物室左
C,C3NINB3C,砂漠の城の神殿,宝物室右
C,C3NINB3D,砂漠の城の神殿,メイン
C,C3NINB3E,砂漠の城の神殿,宝物室左
C,C3NINB3F,砂漠の城の神殿,宝物室右
C,C3NINF1,砂漠の城の１Ｆ,過去
C,C3PINB1,砂漠の城のＢ１,過去
C,C3PINB2B,砂漠の城のＢ２,過去ガイコツ
C,C3PINB2C,砂漠の城のＢ２,過去墓つくった後
C,C3PINF1,砂漠の城の１Ｆ,
C,C3POUT,砂漠の城,過去／外観
C,C3PINB1A,砂漠の城のＢ１,過去
C,C3PINB1B,砂漠の城のＢ１,過去／無人モード
C,C3PINB2,砂漠の城のＢ２,過去／墓に侍女
C,C3PINB2A,砂漠の城のＢ２,過去／墓
C,C3PINF1A,砂漠の城の１Ｆ,過去
C,C3PINF1B,砂漠の城の１Ｆ,過去／闇
C,C3POUTB,砂漠の城,過去／修理中
C,C4OUT,マーディラス城,過去／外観
C,C4OUTBRK,マーディラス城,ゼッペルが壊した直後
C,C4OUTAFT,マーディラス城,過去／外観
C,C4INBLF1,マーディラス城の１Ｆ,はたおり器
C,C4INBLF2,マーディラス城の２Ｆ,十字
C,C4INBLF3,マーディラス城の３Ｆ,石碑
C,C4INBRF1,マーディラス城の１Ｆ,牢屋入り口
C,C4INBRF2,マーディラス城の２Ｆ,北東の塔
C,C4INBRF3,マーディラス城の３Ｆ,きれいな水
C,C4INREF1,マーディラス城の１Ｆ,杖
C,C4INREF2,マーディラス城の２Ｆ,台所
C,C4INREF3,マーディラス城の３Ｆ,魔法使い
C,C4INWHF1,マーディラス城の１Ｆ,北西の塔
C,C4INWHF2,マーディラス城の２Ｆ,北西の塔
C,C4INWHF3,マーディラス城の３Ｆ,先代国王
